1.Czy filtracja dolnoprzepustowa pozwala usunąć zakłócenia typu impulsowego?;nie;tak;tak, ale tylko znaczne zakłócenia impulsowe;;;a
2. Splot obrazu z maską filtru w dziedzinie przestrzeni reprezentowany jest w dziedzinieczęstotliwości jako:;iloczyn F-obrazu i F-obrazu filtru;sumę F-obrazu i F-obrazu filtru;żadna z pozostałych;splot F-obrazu i F-obrazu filtru;;a
3.Operacja otwarcia (zaznacz zdania prawdziwe):;nie zmienia w istotny sposób pola powierzchni dużych figur (dla obrazów binarnych);usuwa z obrazu niewielkie obiekty typu wypustki;to kolejne wykonanie na obrazie najpierw dylatacji, a następnie erozji;bada zgodność otoczenia analizowanych punktów z elementem strukturalnym (maską);;abd
4.Która z wymienionych z przestrzeni barw (reprezentacja kolorów) stosowana jest wstandardzie JPEG:;CMY;HSV;YUV;RGB;;c
5.Dla segmentacji przez podział i łączenie:siebie różnych podobszarów o zbliżonych właściwościach;w pierwszym kroku obraz dzielony jest na fragmenty o rozmiarze 8 x 8;w pierwszym kroku obraz dzielony jest na 4 części, jeśli nie jest spełniony predykat Q;w rezultacie algorytmu mogą powstać niepołączone obszary o jednakowych właściwościach;procedura łączenia służy do eliminacji błędów polegających na występowaniu obok;;bcd
6.Miejsce o największej wrażliwości na światło w siatkówce to:;plamka żółta;zakończenie nerwu wzrokowego;ciało szkliste;soczewka;;a
7.Dylatację dla obrazów w odcieniach szarości możemy opisać jako filtr(y):;minimalny;maksymalny;górnoprzepustowy;dolnoprzepustowy;;b
8.Zaznacz poprawne stwierdzenia.;unktowi w przestrzeni kartezjańskiej odpowiada krzywa sinusoidalna w przestrzeni Hougha (rho,theta);punktowi w przestrzeni kartezjańskiej odpowiada prosta w przestrzeni Hougha (rho,theta);prostej w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (rho,theta);prostej w przestrzeni kartezjańskiej odpowiada krzywa sinusoidalna w przestrzeni Hougha (rho,theta);;ac
9.Do układ optycznego oka można zaliczyć:;soczewkę;siatkówkę;rogówkę;tęczówkę;;ac
10.Czy można zdefiniować pojęcie filtracji medianowej dla obrazów kolorowych?;nie, mediana jest operacją tylko dla obrazów w skali szarości;tak, trzeba tylko odpowiednio zdefiniować medianę i miarę odległości między pikselami (w sensie koloru);tak, ale tylko dla obrazów w przestrzeni HSV;tak, ale tylko dla obrazów w przestrzeni RGB;;b
11.Zaznacz cechy sztucznego przetwarzania obrazu przewyższające ludzki zmysł wzroku:;szybsze rozpoznawanie obrazów w czasie rzeczywistym;szybka analiza złożonych obrazów;szybszy czas reakcji;dowolny zakres pracy zarówno dla światła widzialnego, jak i podczerwieni i nadfioletu;powtarzalność wyników;acde
12.Dany jest obraz lekko nieostry. Jakie podejście powinno umożliwić poprawienie jegojakości?;dodanie/odjęcie od obrazu rezultatu filtracji medianowej;dodanie/odjęcie od obrazu rezultatu filtracji maksymalnej;dodanie/odjęcie od obrazu rezultatu filtracji dolnoprzepustowej;dodanie/odjęcie od obrazu rezultatu filtracji górnoprzepustowej;;d
13.Zaznacz poprawne stwierdzenie (stwierdzenia).;ścienianie to grupa przekształceń morfologicznych;ścienianie może być wywoływane wielokrotnie dla tego samego obrazu;ścienianie można wykonać dla obrazów monochromatycznych;ścienianie to operacja morfologiczna mająca za cel zmienić jasność punktów obrazu;;ab
14.Dla algorytmu detekcji krawędzi Laplacian of Gaussian (LoG) (zaznacz zdaniaprawdziwe):;detekcja krawędzi polega na znajdywaniu miejsc przejścia przez zero;detekcja krawędzi polega na znajdywaniu maksimów lokalnych;z przefiltrowanego filtrem Gaussa obrazu obliczana jest druga pochodna;z przefiltrowanego filtrem Gaussa obrazu obliczana jest pierwsza pochodna;;ac
15.Zaznacz sytuacje, które doprowadzą do konieczności zapamiętania informacji o konflikcie(cyfry oznaczają wstępne etykiety, wyróżniony jest aktualnie rozważany piksel):;0 | 0 | 3 - 2 | 2 | X;2 | 0 | 3- 2 | 2 | X;2 | 0 | 3 - 2 | 0 | X;2 | 0 | 3 - 0 | 0 | X;;ab
16.Elementem światłoczułym w oku jest:;źrenica;tęczówka;siatkówka;rogówka;;c
17.Do globalnych metod automatycznego wyznaczania progu binaryzacji można zaliczyć:;metodę Sauvoli;algorytm Yen;wyznaczanie progu na podstawie średniej jasności w otoczeniu;algorytm Otsu;;bd
18.Które z podanych przekształceń nie są operacjami kontekstowymi?;negacja;filtr morfologiczny;LUT;mediana;;ac
19. Operacja zamknięcia (zaznacz zdania prawdziwe): A albo d, wydaje sie ze a;bada zgodność otoczenia analizowanych punktów z elementem strukturalnym(maską);nie zmienia w istotny sposób pola powierzchni dużych figur (dla obrazów binarnych);wypełnia wąskie wcięcia i zatoki;to kolejne wykonanie na obrazie najpierw erozji, a następnie dylatacji;;abc
20.Zaznacz poprawne stwierdzenia dotyczące filtra NL-means (non-local means):;niska złożoność obliczeniowa i duża dokładność filtracji;wysoka złożoność obliczeniowa i duża dokładność filtracji;do poprawnego działania filtr NL-means wymaga obrazu referencyjnego (na przykład obraz przefiltrowany innym filtrem;filtr ustala wagi na podstawie podobieństw jasności punktów w oknie lokalnym i globalnym;;bd
21.Z wymienionych poniżej, wskaż przestrzenie barw, w których wyróżnia się osobnąskładową jasności obrazu:;CMY;RGB;CMYK;YUV;HSV;de
22.W poznanym na zajęciach algorytmie indeksacji:;po pierwszym przebiegu piksele należące do jednego obiektu mogą mieć różne etykiety;analizowane jest otoczenie o rozmiarze 5x5;po pierwszym przebiegu wszystkie obiekty muszą mieć poprawne etykiety;potencjalne konflikty (wielokrotne etykiety) zapisywane są w strukturze zbiorów rozłącznych (uninon find);;ad
23.Modelem barw często stosowanym w urządzeniach drukujących jest:;YCrCb;HSV;Lab;BGR;CMYK;e
24.Cechą charakterystyczną maski filtru górnoprzepustowego jest:;suma współczynników < 0;suma współczynników > 0;suma współczynników = 0;;;c
25.Czy następujące zdanie jest poprawne? Konwolucja w dziedzinie przestrzennejodpowiada mnożeniu w dziedzinie częstotliwości.;nie;tak, ale tylko wtedy, gdy wymiary rozdzielczości przestrzennej F-obrazu są potęgą liczby 2;tak, ale tylko wtedy, gdy wymiary rozdzielczości przestrzennej obrazu są potęgą liczby 2;tak;;d
26.W którym kroku algorytmu wyrównania histogramu następuje rezygnacja z częściułamkowej:;obliczenie histogramu skumulowanego;przemnożenie przez maksymalną wartość poziomu jasności;podzielenie przez wartość równą liczbie pikseli;określnie przekształcenia LUT;;d
27.Histogram skumulowany to funkcja wyznaczona na podstawie histogramu w następującysposób: pierwszy element to liczba pikseli o odcieniu 0, a kolejne wartości to liczba pikseli oodcieniu k pomnożona przez numer odcienia:;Fałsz;Prawda;;;;a
28. W jakich sytuacjach metoda najbliższego sąsiada daje lepsze efekty niż interpolacjadwuliniowa:;w przypadku niektórych naturalnych obrazów, z bogatą paletą odcieni szarości;zawsze;w przypadku niektórych sztucznych obrazów, z bardzo ograniczoną paletą odcieni szarości;nigdy;;c
29. Który z poniższych filtrów można zaadaptować do filtracji szumu niestacjonarnego wobrazie cyfrowym?;filtracja splotowa;filtracja bilateralna;filtracja NL-means (non-local means);żaden z powyższych;;bc
30.Zaznacz poprawne stwierdzenia.;punktowi w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (A, B);prostej w przestrzeni kartezjańskiej odpowiada pęk prostych w przestrzeni Hougha (A, B);prostej w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (A, B);punktowi w przestrzeni kartezjańskiej odpowiada prosta w przestrzeni Hougha (A, B);;cd
31.Czy w filtrze NL-means (non-local means) wartość punktu centralnego otoczenia jestbrana pod uwagę podczas filtracji?;nie;tak;;;;b
32. Czy transformata Hougha może wykryć prostą, która nie jest ciągła?;tak, zawsze;zależnie od "stopnia" nieciągłości;nie;zależnie od jej nachylenia;;b
33.Opis: "niska czułość, widzenie przy dobrym oświetleniu, widzenie barwne" odpowiada:;czopkom;pręcikom;;;;a
34.Wybierz zdania prawdziwe na temat adaptacyjnej filtracji medianowej - takiej jak wzadaniu domowym do ćwiczenia "Przetwarzanie wstępne":;adaptacyjność filtra polega na naprzemiennym stosowaniu filtracji medianowej i dolnoprzepustowej;filtr adaptacyjny działa szybciej niż zwykła mediana (jest mniej złożony obliczeniowo);jednym z etapów działania jest określenie wartości min i max w oknie;adaptacyjność filtra polega na zmianie rozmiaru okna filtracji;;cd
35.Rezultatem indeksacji jest obraz:;binarny;kolorowy (RGB);w skali szarości;kolorowy (YCbCr);;c
36.Erozja morfologiczna powoduje:;rozrost figury;zmniejszenie pola figury;likwidacją niewielkich wypustek;likwidację niewielkich dziur i nieciągłości;;bc
37.Dla segmentacji przez rozrost zaznacz zdania prawdziwe:;metoda wymaga wyboru punktu startowego;obliczenia są przerywane, w przypadku, gdy różnica w jasności (kolorze) pomiędzy bieżącym pikselem, a jednym z sąsiadów przekroczy ustalony próg;metoda działa poprawnie tylko, gdy wykorzystuje się stos (a nie np. kolejkę);w każdym kroku sprawdzane jest sąsiedztwo danego piksela;;ad
38.Wyznaczono dwuwymiarową transformatę DCT całego obrazu. Gdzie będą znajdowałysię niskie częstotliwości w F obrazie?;w prawym dolnym rogu F-obrazu;w centrum F-obrazu;na krawędziach F-obrazu;jest to zależne od obrazu;w lewym górnym rogu F-obrazu;e
39.Operacja wyrównywania histogramu w RGB (osobno dla każdej ze składowych) niepowoduje znaczącej zmiany kolorów w obrazie:;Fałsz;Prawda;;;;a
40. Filtracja dolnoprzepustowa pozwala głównie usunąć/zredukować?;szum typu Gaussowskiego;szum impulsowy;;;;a
41. Dla obrazu czarno - białej szachownicy wykonujemy przeskalowanie do dwukrotniewiększej rozdzielczości. Stosujemy dwie metody: ``najbliższego sąsiada'' oraz interpolację.Która da lepszy rezultat (wizualnie) ?;najbliższego sąsiada;interpolacja;obie dadzą zbliżony wynik;;;a
42. Które z poniższych operacji morfologicznych mogą zwiększać pole figury poddanejprzekształceniu:;ścieranie;erozja;otwarcie;dylatacja;;d
43. Luminacja Y niesie informację o:;poziomie jasności piksela;obecności koloru czerwonego w pikselu;obecności koloru niebieskiego w pikselu;obecności koloru zielonego w pikselu;;a
44.Plamka ślepa to:;miejsce o największym skupieniu czopków;ujście nerwu wzorkowego;;;;b
45. Prostej w przestrzeni kartezjańskiej odpowiada w przestrzeni Hougha (rho,theta):;pęk prostych;sinusoida;prosta;punkt;;d
46. Zaznacz cechy naturalnego przetwarzania obrazu przewyższające jego sztucznyodpowiednik:;powtarzalność wyników;szybka analiza złożonych obrazów;większa skuteczność rozpoznawania obrazów dwuznacznych;szybsze rozpoznawanie prostych obrazów w czasie rzeczywistym;;bc
47.Parametrami algorytmu Canny są:;tylko sigma - odchylenie standardowe rozkładu normalnego;sigma - odchylenie standardowe rozkładu normalnego oraz próg binaryzacji T;sigma - odchylenie standardowe rozkładu normalnego oraz dwa progi binaryzacji T1 i T2;tylko dwa progi binaryzacji T1 i T2;;c
48.Metoda lokalnej binaryzacji Sauvoli wykorzystuje jako parametry:;wartość maksymalną w oknie;odchylenie standardowe w oknie;średnią jasność w oknie;splot okna z filtrem Gabora;wartość minimalną w oknie;bc
49.Plamka żółta w oku to:;ujście nerwu wzorkowego;miejsce o największym skupieniu czopków;;;;b
50.Wyrównanie histogramu niesie za sobą:;poprawę subiektywnego odbioru obrazu;utratę informacji niesionej przez obraz;zmniejszenie liczby rozróżnialnych (przez człowieka) poziomów szarości;zwiększenie liczby rozróżnialnych (przez człowieka) poziomów szarości;;abd
51.Które z poniższych operacji morfologicznych mogą zmniejszać pole figury poddanejprzekształceniu:;dylatacja;zamknięcie;ścieranie;erozja;;cd
52.Na jakim etapie (etapach) następuje kompresja danych w standardzie JPEG?;kodowanie RLE;kwantyzacja;przekształcenie DCT;operacja zig-zag;;ab
53.Czy wykorzystując Laplasjan można osiągnąć efekt wyostrzenia obrazu?;tak;nie;tak, ale jeśli wczesniej obraz zostanie przefiltrowany filtrem Gaussa;;;a
54. Opis: "wysoka czułość, widzenie w nocy, reakcja na intensywność światła" odpowiada:;pręcikom;czopkom;;;;a
55.Kiedy jednopunktowe przekształcenie obrazu jest odwracalne:;nigdy;tylko jeśli funkcja przekształcająca jest malejąca;jeśli funkcja przekształcająca jest ściśle monotoniczna;tylko jeśli funkcja przekształcająca jest rosnąca;zawsze;c
56. Element F w transformacji Fouriera odpowiada za:;kąt nachylenia prostej;składową stałą w obrazie;wysokie częstotliwości na obrazie x;pole powierzchni obiektu;;b
57. Dla obrazu rzeczywistego (np."lena") wykonujemy przeskalowanie do dwukrotniewiększej rozdzielczości. Stosujemy dwie metody: ``najbliższego sąsiada'' oraz interpolację.Która da lepszy rezultat (wprowadza mniejszą liczbę artefaktów)?;interpolacja;obie dadzą zbliżony wynik;najbliższego sąsiada;;;a
58. Czy przyjmując rozmiar okna globalnego równy rozmiarowi okna lokalnego, filtrNL-means (non-local means) sprowadza się do filtra bilateralnego?;tak;nie;;;;b
60. Wskaż poprawne zdania o algorytmach binaryzacji poznanych na zajęciach:;do segmentacji obrazów o niejednorodnym oświetleniu najlepiej nadaje się, któraś z globalnych metod;w doborze progu binaryzacji największe znaczenie ma analiza histogramu;w metodzie Sauvoli próg binaryzacji wyznaczany jest na podstawie otoczenia analizowanego piksela;metoda Otsu wymaga podania dwóch progów T1 i T2;;bc
61. Czy za pomocą odpowiedniej modyfikacji transformaty Hougha można wykryć okręgi naobrazie?;tak;nie;;;;a
62. F-obraz (obraz po przekształceniu dyskretną transformatą Fouriera) jest to reprezentacjaw dziedzinie:;przestrzeni;czasu;częstotliwości;fazy;;c
63.Erozję dla obrazów w odcieniach szarości możemy opisać jako filtr(y):;minimalny;górnoprzepustowy;dolnoprzepustowy;maksymalny;;a
64.Ile maksymalnie etykiet można nadać obrazowi, który zawiera N poziomów szarości?;N+1;N;jest to zależne od treści obrazu;N-1;;c
65. Czy na podstawie składowej luminancji (Y) i dwóch składowych chrominancji (Cr,Cb)możliwe jest odtworzenie barw podstawowych RGB?;tak, ale tylko dla obrazów po korekcji gamma;tak, ale tylko dla obrazów po wyrównywaniu histogramu;nie;tak;;d
66. Zaznacz zdania prawdziwe:;dla filtracji dolnoprzepustowej nowa wartość piksela może być wartością z obrazu wejściowego;dla filtracji dolnoprzepustowej nowa wartość piksela zawsze jest wartością z obrazu wejściowego;dla filtracji medianowej z oknem o nieparzystej liczbie elementów nowa wartość piksela zawsze jest wartością z obrazu wejściowego;;;ac
67.Jak nazywa się miejsce połączenia siatkówki i nerwu wzrokowego:;plamka ślepa;plamka żółta;tęczówka;rogówka;;a
68.Czy za pomocą odpowiedniej modyfikacji transformaty Hougha można wykryć elipsy naobrazie?;nie;tak;;;;b
69.Czy za pomocą operacji LUT można wyznaczyć negatyw z obrazu?;fałsz;prawda;;;;b
70.W metodzie BBHE (Bi-Histogram Equalization) histogram dzieli się na podstawie:;średniej jasności w obrazie;liczby pikseli w podobrazach;dominanty jasności w obrazie;średniej jasności w przetwarzanym oknie;;a
71.Filtr kombinowany:;do łączenia wyników filtracji stosuje się formułę Euklidesową lub modułową;służy np. do wykrywania krawędzi;to złożenie dwóch lub więcej filtrów prostych (np. Sobel, Prewitt);;;ab
72. Wykonanie operacji DCT na obrazie (fragmencie obrazu) w dwóch etapach (jako dwiejednowymiarowe transformaty po wierszach i kolumnach) skutkuje:;zwiększeniem obciążenia procesora;zmniejszeniem złożoności obliczeniowej;uzyskaniem dokładniejszych wyników;powstaniem znacznych błędów obliczeniowych;;b
73. Który z podanych akronimów nie jest oznaczeniem przestrzeni kolorów:;RGB;CMYK;YYU;Lac;HSV;cd
74.Dwukrotną redukcję rozdzielczości obrazu można osiągnąć stosując kolejno:;podpróbkowanie i filtrację dolnoprzepustową;filtrację dolnoprzepustową i nadpróbkowanie;filtrację dolnoprzepustową i podpróbkowanie;filtrację górnoprzepustową i podpróbkowanie;;c
75.W metodzie DSIHE (Dualistic Sub-Image Histogram Equalization) histogram dzieli się napodstawie:;liczby pikseli w podobrazach;dominanty jasności w obrazie;średniej jasności w przetwarzanym oknie;średniej jasności w obrazie;;a
76.Czy konwersja z RGB do odcieni szarości jest operacją odwracalną?;nie;tak, ale tylko dla obrazów po korekcji gamma;tak, ale tylko dla obrazów po wyrównywaniu histogramu;tak;;a
77. Które z poniższych zakłóceń może być lepiej usunięte przez medianę niż przez filtruśredniający:;nierównomierne oświetlenie sceny;usunięcie szumu o rozkładzie normalnym (Gaussa);niewykorzystanie wszystkich poziomów jasności;usunięcie szumu salt and paper;;d
