Pytanie,Odpowiedź a,Odpowiedź B,Odpowiedź C,Odpowiedź D,Odpowiedź E,Poprawna odpowiedź,,Instrukcja:
Dla segmentacji przez rozrost zaznacz zdania prawdziwe:,metoda wymaga wyboru punktu startowego,"obliczenia są przerywane, w przypadku, gdy różnica w jasności (kolorze) pomiędzy bieżącym pikselem, a jednym z sąsiadów przekroczy ustalony próg","metoda działa poprawnie tylko, gdy wykorzystuje się stos (a nie np. kolejkę)",w każdym kroku sprawdzane jest sąsiedztwo danego piksela,,ad,,"Uzupełnij wiersz z treścią pytania i odpowiedź. W ""poprawna odpowiedź"" wpisz litery oznaczające poprawne odpowiedzi. Przykład: ""bc"" - oznacza, że B i C są poprawne. Wielkość liter nie ma znaczenia"
Luminacja Y niesie informację o:,poziomie jasności piksela,obecności koloru czerwonego w pikselu,obecności koloru zielonego w pikselu,obecności koloru niebieskiego w pikselu,,a,,
Plamka żółta w oku to:,ujście nerwu wzorkowego,miejsce o największym skupieniu czopków,,,,b,,
Do globalnych metod automatycznego wyznaczania progu binaryzacji można zaliczyć:,wyznaczanie progu na podstawie średniej jasności w otoczeniu,metodę Sauvoli,algorytm Otsu,algorytm Yen,,cd,,
Zaznacz poprawne stwierdzenia dotyczące filtra NL-means (non-local means):,filtr ustala wagi na podstawie podobieństw jasności punktów w oknie lokalnym i globalnym,do poprawnego działania filtr NL-means wymaga obrazu referencyjnego (na przykład obraz przefiltrowany innym filtrem,niska złożoność obliczeniowa i duża dokładność filtracji,wysoka złożoność obliczeniowa i duża dokładność filtracji,,ad,,
Rezultatem indeksacji jest obraz:,kolorowy (RGB),w skali szarości,binarny,kolorowy (YCbCr),,b,,
W metodzie BBHE (Bi-Histogram Equalization) histogram dzieli się na podstawie:,średniej jasności w obrazie,liczby pikseli w podobrazach,dominanty jasności w obrazie,średniej jasności w przetwarzanym oknie,,a,,
Filtr kombinowany:,do łączenia wyników filtracji stosuje się formułę Euklidesową lub modułową,służy np. do wykrywania krawędzi,"to złożenie dwóch lub więcej filtrów prostych (np. Sobel, Prewitt)",,,ab,,
"Histogram skumulowany to funkcja wyznaczona na podstawie histogramu w następujący sposób: pierwszy element to liczba pikseli o odcieniu 0, a kolejne wartości to liczba pikseli o odcieniu k pomnożona przez numer odcienia:",Prawda,Fałsz,,,,b,,
"Dla obrazu rzeczywistego (np.""lena"") wykonujemy przeskalowanie do dwukrotnie większej rozdzielczości. Stosujemy dwie metody: ``najbliższego sąsiada'' oraz interpolację. Która da lepszy rezultat (wprowadza mniejszą liczbę artefaktów)?",interpolacja,obie dadzą zbliżony wynik,najbliższego sąsiada,,,a,,
Wykonanie operacji DCT na obrazie (fragmencie obrazu) w dwóch etapach (jako dwie jednowymiarowe transformaty po wierszach i kolumnach) skutkuje:,zwiększeniem obciążenia procesora,zmniejszeniem złożoności obliczeniowej,uzyskaniem dokładniejszych wyników,powstaniem znacznych błędów obliczeniowych,,b,,
Czy filtracja dolnoprzepustowa pozwala usunąć zakłócenia typu impulsowego?,nie,"tak, ale tylko znaczne zakłócenia impulsowe",tak,,,a,,
Kiedy jednopunktowe przekształcenie obrazu jest odwracalne:,tylko jeśli funkcja przekształcająca jest rosnąca,tylko jeśli funkcja przekształcająca jest malejąca,zawsze,jeśli funkcja przekształcająca jest ściśle monotoniczna,nigdy,d,,
W poznanym na zajęciach algorytmie indeksacji:,analizowane jest otoczenie o rozmiarze 5x5,po pierwszym przebiegu wszystkie obiekty muszą mieć poprawne etykiety,potencjalne konflikty (wielokrotne etykiety) zapisywane są w strukturze zbiorów rozłącznych (uninon find),po pierwszym przebiegu piksele należące do jednego obiektu mogą mieć różne etykiety,,cd,,
"Wybierz zdania prawdziwe na temat adaptacyjnej filtracji medianowej - takiej jak w zadaniu domowym do ćwiczenia ""Przetwarzanie wstępne"":",filtr adaptacyjny działa szybciej niż zwykła mediana (jest mniej złożony obliczeniowo),adaptacyjność filtra polega na naprzemiennym stosowaniu filtracji medianowej i dolnoprzepustowej,jednym z etapów działania jest określenie wartości min i max w oknie,adaptacyjność filtra polega na zmianie rozmiaru okna filtracji,,cd,,
"Z wymienionych poniżej, wskaż przestrzenie barw, w których wyróżnia się osobną składową jasności obrazu:",YUV,CMY,CMYK,HSV,RGB,ad,,
"Opis: ""wysoka czułość, widzenie w nocy, reakcja na intensywność światła"" odpowiada:",pręcikom,czopkom,,,,a,,
Który z podanych akronimów nie jest oznaczeniem przestrzeni kolorów:,RGB,CMYK,YYU,Lac,HSV,cd,,
Które z poniższych operacji morfologicznych mogą zmniejszać pole figury poddanej przekształceniu:,erozja,dylatacja,zamknięcie,ścieranie,,ad,,
Zaznacz cechy naturalnego przetwarzania obrazu przewyższające jego sztuczny odpowiednik:,większa skuteczność rozpoznawania obrazów dwuznacznych,powtarzalność wyników,szybka analiza złożonych obrazów,szybsze rozpoznawanie prostych obrazów w czasie rzeczywistym,,ac,,